simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
6,Ricker,K,10000,Beverton-Holt,14926.95,1237.97,154272.28,1.006,49.26950000000001,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.83,16.05,1161.66,14926.95
6,Ricker,Smsy,1928.814402774944,Beverton-Holt,1161.66,42.79,26628.25,1.016,-39.77336552813247,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.83,16.05,1161.66,14926.95
6,Ricker,alpha,5.1,Beverton-Holt,4.83,0.28,9.71,1.012,-5.294117647058815,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.83,16.05,1161.66,14926.95
6,Ricker,sigma,0.1,Beverton-Holt,16.05,12.29,22.17,1.013,15950,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.83,16.05,1161.66,14926.95
6,Beverton-Holt,K,10000,Ricker,9623.53,9167.55,10163.71,1,-3.7646999999999933,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3700.9,9623.53
6,Beverton-Holt,Smsy,724.2648536151773,Ricker,3700.9,3463.62,3985.36,1.001,410.9871038925761,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3700.9,9623.53
6,Beverton-Holt,alpha,5.1,Ricker,1.67,1.51,1.83,1.001,-67.25490196078432,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3700.9,9623.53
6,Beverton-Holt,sigma,0.1,Ricker,0.19,0.15,0.24,1.001,90,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3700.9,9623.53
6,Ricker,K,10000,Ricker,9946.58,9843.94,10051.1,1,-0.5342000000000007,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.53,9946.58
6,Ricker,Smsy,1928.814402774944,Ricker,1926.53,1921.3,1931.56,1.002,-0.11843559295583517,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.53,9946.58
6,Ricker,alpha,5.1,Ricker,5.08,5.02,5.14,1,-0.3921568627450897,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.53,9946.58
6,Ricker,sigma,0.1,Ricker,0.12,0.09,0.17,1,19.99999999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.53,9946.58
7,Beverton-Holt,K,10000,Beverton-Holt,10047.25,9676.82,10467.7,1.002,0.4725,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.66,0.11,345.45,10047.25
7,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,345.45,72.84,1416.37,1.004,-52.30335998279057,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.66,0.11,345.45,10047.25
7,Beverton-Holt,alpha,5.1,Beverton-Holt,6.66,3.66,9.83,1.004,30.58823529411766,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.66,0.11,345.45,10047.25
7,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.14,1.001,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.66,0.11,345.45,10047.25
7,Ricker,K,10000,Beverton-Holt,16172.75,725.81,174973.02,1.009,61.7275,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.87,16.04,1129.26,16172.75
7,Ricker,Smsy,1928.814402774944,Beverton-Holt,1129.26,41.98,27124.81,1.007,-41.453153897266745,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.87,16.04,1129.26,16172.75
7,Ricker,alpha,5.1,Beverton-Holt,4.87,0.25,9.68,1.006,-4.5098039215686185,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.87,16.04,1129.26,16172.75
7,Ricker,sigma,0.1,Beverton-Holt,16.04,12.38,22.47,1.01,15940,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.87,16.04,1129.26,16172.75
7,Beverton-Holt,K,10000,Ricker,9623.97,9175.32,10175.11,1.001,-3.7603000000000066,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3702.26,9623.97
7,Beverton-Holt,Smsy,724.2648536151773,Ricker,3702.26,3465.91,3996.57,1.001,411.1748805040203,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3702.26,9623.97
7,Beverton-Holt,alpha,5.1,Ricker,1.67,1.5,1.83,1.001,-67.25490196078432,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3702.26,9623.97
7,Beverton-Holt,sigma,0.1,Ricker,0.19,0.15,0.24,1.002,90,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3702.26,9623.97
7,Ricker,K,10000,Ricker,9947.96,9843.49,10050.8,1,-0.5204000000000087,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.53,9947.96
7,Ricker,Smsy,1928.814402774944,Ricker,1926.53,1921.28,1931.78,1.001,-0.11843559295583517,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.53,9947.96
7,Ricker,alpha,5.1,Ricker,5.08,5.01,5.14,1.001,-0.3921568627450897,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.53,9947.96
7,Ricker,sigma,0.1,Ricker,0.12,0.09,0.17,1,19.99999999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.53,9947.96
8,Beverton-Holt,K,10000,Beverton-Holt,10047.1,9673.47,10449.4,1.002,0.47100000000000364,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.67,0.11,344.53,10047.1
8,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,344.53,71.96,1539.57,1.01,-52.43038533759107,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.67,0.11,344.53,10047.1
