simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
8,Beverton-Holt,b_cov,-1.652486788803681,Beverton-Holt,-1.65,-2.32,-1.08,1.001,-0.15048766625731033,22.264044611904293,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.82,0.91,2954,7809.73
8,Beverton-Holt,sigma,0.8364698128785848,Beverton-Holt,0.91,0.72,1.18,1.001,8.790536847752124,22.264044611904293,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.82,0.91,2954,7809.73
8,Beverton-Holt,K,9869,Ricker,10979.75,1293.34,21030.68,1.001,11.254939710203669,22.264044611904293,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.35,0.92,5223.88,10979.75
8,Beverton-Holt,Smsy,4086.014813461695,Ricker,5223.88,644.16,9515.03,1.001,27.847798857447092,22.264044611904293,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.35,0.92,5223.88,10979.75
8,Beverton-Holt,alpha,0.6946997916238086,Ricker,0.35,0.03,0.85,1.001,-49.61852526515068,22.264044611904293,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.35,0.92,5223.88,10979.75
8,Beverton-Holt,b_cov,-1.652486788803681,Ricker,-1.38,-1.8,-0.98,1.001,-16.489498775415207,22.264044611904293,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.35,0.92,5223.88,10979.75
8,Beverton-Holt,sigma,0.8364698128785848,Ricker,0.92,0.74,1.2,1,9.986037252672478,22.264044611904293,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.35,0.92,5223.88,10979.75
9,Beverton-Holt,K,9539,Beverton-Holt,8521.76,5154.2,15449.12,1.004,-10.664010902610334,272.06659800425143,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,1.39,0.32,2841.4,8521.76
9,Beverton-Holt,Smsy,3280.100643558405,Beverton-Holt,2841.4,1368.37,5648.21,1.005,-13.374609234016736,272.06659800425143,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,1.39,0.32,2841.4,8521.76
9,Beverton-Holt,alpha,1.2922604841237084,Beverton-Holt,1.39,1.05,2.05,1.008,7.563453117779841,272.06659800425143,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,1.39,0.32,2841.4,8521.76
