simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
66,Ricker,Smsy,2912.0001238340246,Ricker,2920.16,2849.79,2995.92,1.001,0.28021551576143783,2.3687392170841273,0.12532708267520531,2912.0001238340246,8697,2.37,0.12,2920.16,8725.63
66,Ricker,alpha,2.3687392170841273,Ricker,2.37,2.29,2.45,1.002,0.05322590628717827,2.3687392170841273,0.12532708267520531,2912.0001238340246,8697,2.37,0.12,2920.16,8725.63
66,Ricker,sigma,0.12532708267520531,Ricker,0.12,0.1,0.16,1.001,-4.250543905989466,2.3687392170841273,0.12532708267520531,2912.0001238340246,8697,2.37,0.12,2920.16,8725.63
67,Beverton-Holt,K,8018,Beverton-Holt,3932.97,1857.35,7266.02,1.001,-50.94824145672237,0.8910741011934751,1.3249932099665565,3130.406760745081,8018,2.34,1.43,843.39,3932.97
67,Beverton-Holt,Smsy,3130.406760745081,Beverton-Holt,843.39,33.84,2574.62,1.005,-73.05813383180717,0.8910741011934751,1.3249932099665565,3130.406760745081,8018,2.34,1.43,843.39,3932.97
67,Beverton-Holt,alpha,0.8910741011934751,Beverton-Holt,2.34,0.3,9.42,1.003,162.60442278211,0.8910741011934751,1.3249932099665565,3130.406760745081,8018,2.34,1.43,843.39,3932.97
67,Beverton-Holt,sigma,1.3249932099665565,Beverton-Holt,1.43,1.14,1.85,1.001,7.925081369744825,0.8910741011934751,1.3249932099665565,3130.406760745081,8018,2.34,1.43,843.39,3932.97
67,Beverton-Holt,K,8018,Ricker,5589.58,1471.67,9441.4,1.003,-30.28710401596408,0.8910741011934751,1.3249932099665565,3130.406760745081,8018,0.65,1.36,2541.34,5589.58
67,Beverton-Holt,Smsy,3130.406760745081,Ricker,2541.34,719.31,4074.09,1.004,-18.817578856904678,0.8910741011934751,1.3249932099665565,3130.406760745081,8018,0.65,1.36,2541.34,5589.58
67,Beverton-Holt,alpha,0.8910741011934751,Ricker,0.65,0.14,1.24,1.003,-27.05432700496944,0.8910741011934751,1.3249932099665565,3130.406760745081,8018,0.65,1.36,2541.34,5589.58
67,Beverton-Holt,sigma,1.3249932099665565,Ricker,1.36,1.1,1.75,1.001,2.642035428568516,0.8910741011934751,1.3249932099665565,3130.406760745081,8018,0.65,1.36,2541.34,5589.58
68,Beverton-Holt,K,9670,Beverton-Holt,7885.17,5416.38,12815.32,1.004,-18.457394002068252,3.0818331873392824,1.2237154094246692,1705.8080027486103,9670,4.69,0.99,674.73,7885.17
68,Beverton-Holt,Smsy,1705.8080027486103,Beverton-Holt,674.73,56.65,3946.91,1.004,-60.445138086303324,3.0818331873392824,1.2237154094246692,1705.8080027486103,9670,4.69,0.99,674.73,7885.17
68,Beverton-Holt,alpha,3.0818331873392824,Beverton-Holt,4.69,1.16,9.75,1.002,52.18214987324274,3.0818331873392824,1.2237154094246692,1705.8080027486103,9670,4.69,0.99,674.73,7885.17
68,Beverton-Holt,sigma,1.2237154094246692,Beverton-Holt,0.99,0.78,1.32,1.001,-19.09883683940457,3.0818331873392824,1.2237154094246692,1705.8080027486103,9670,4.69,0.99,674.73,7885.17
68,Beverton-Holt,K,9670,Ricker,11668.03,6321.64,19868.75,1.002,20.66215098241986,3.0818331873392824,1.2237154094246692,1705.8080027486103,9670,0.95,1.09,5012.21,11668.03
68,Beverton-Holt,Smsy,1705.8080027486103,Ricker,5012.21,2974.06,8751.62,1.003,193.8320134460445,3.0818331873392824,1.2237154094246692,1705.8080027486103,9670,0.95,1.09,5012.21,11668.03
68,Beverton-Holt,alpha,3.0818331873392824,Ricker,0.95,0.35,1.56,1.008,-69.17419139028132,3.0818331873392824,1.2237154094246692,1705.8080027486103,9670,0.95,1.09,5012.21,11668.03
68,Beverton-Holt,sigma,1.2237154094246692,Ricker,1.09,0.85,1.49,1.003,-10.927002176718155,3.0818331873392824,1.2237154094246692,1705.8080027486103,9670,0.95,1.09,5012.21,11668.03
69,Ricker,K,8715,Beverton-Holt,11941.17,1082.04,115400.92,1.023,37.01858864027539,0.20338782921284193,1.4376254416695546,4244.866654594342,8715,0.34,1.27,5300.16,11941.17
69,Ricker,Smsy,4244.866654594342,Beverton-Holt,5300.16,535.91,52532.76,1.024,24.860459262330014,0.20338782921284193,1.4376254416695546,4244.866654594342,8715,0.34,1.27,5300.16,11941.17
69,Ricker,alpha,0.20338782921284193,Beverton-Holt,0.34,0.02,0.97,1.005,67.1683115532915,0.20338782921284193,1.4376254416695546,4244.866654594342,8715,0.34,1.27,5300.16,11941.17
69,Ricker,sigma,1.4376254416695546,Beverton-Holt,1.27,0.99,1.69,1.003,-11.659882804723217,0.20338782921284193,1.4376254416695546,4244.866654594342,8715,0.34,1.27,5300.16,11941.17
69,Ricker,K,8715,Ricker,9335.79,1060.55,34538.01,1.003,7.123235800344244,0.20338782921284193,1.4376254416695546,4244.866654594342,8715,0.4,1.27,4351.55,9335.79
