simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
29,Beverton-Holt,sigma,1.0561796334179214,Ricker,1.1,0.87,1.45,1.002,4.148950159195061,4.657703623198441,1.0561796334179214,823.6178490683199,9279,1.26,1.1,5167.96,12597.09
30,Beverton-Holt,K,8224,Beverton-Holt,9484.49,5336.21,45380.52,1.03,15.326969844357974,1.0451261102944434,0.5908745668526384,3061.4095046633124,8224,0.93,0.73,3577.42,9484.49
30,Beverton-Holt,Smsy,3061.4095046633124,Beverton-Holt,3577.42,1707.15,20005.95,1.03,16.855324142381843,1.0451261102944434,0.5908745668526384,3061.4095046633124,8224,0.93,0.73,3577.42,9484.49
30,Beverton-Holt,alpha,1.0451261102944434,Beverton-Holt,0.93,0.32,1.98,1.004,-11.01552330962326,1.0451261102944434,0.5908745668526384,3061.4095046633124,8224,0.93,0.73,3577.42,9484.49
30,Beverton-Holt,sigma,0.5908745668526384,Beverton-Holt,0.73,0.56,0.99,1.006,23.54567973511354,1.0451261102944434,0.5908745668526384,3061.4095046633124,8224,0.93,0.73,3577.42,9484.49
30,Beverton-Holt,K,8224,Ricker,8962.58,6148.64,17115.81,NA,8.980787937743191,1.0451261102944434,0.5908745668526384,3061.4095046633124,8224,0.87,0.71,3932.43,8962.58
30,Beverton-Holt,Smsy,3061.4095046633124,Ricker,3932.43,2729.14,7761.78,1.012,28.451616616787128,1.0451261102944434,0.5908745668526384,3061.4095046633124,8224,0.87,0.71,3932.43,8962.58
30,Beverton-Holt,alpha,1.0451261102944434,Ricker,0.87,0.44,1.31,1.003,-16.75645728964757,1.0451261102944434,0.5908745668526384,3061.4095046633124,8224,0.87,0.71,3932.43,8962.58
30,Beverton-Holt,sigma,0.5908745668526384,Ricker,0.71,0.54,0.96,1.002,20.160866591685767,1.0451261102944434,0.5908745668526384,3061.4095046633124,8224,0.87,0.71,3932.43,8962.58
31,Ricker,K,8977,Beverton-Holt,1192.73,521.68,4692.09,1.013,-86.71349003007687,0.28837965073132854,0.4991354913251196,4322.896473877227,8977,0.39,0.48,537.1,1192.73
31,Ricker,Smsy,4322.896473877227,Beverton-Holt,537.1,230.67,2153.57,1.013,-87.57546003598202,0.28837965073132854,0.4991354913251196,4322.896473877227,8977,0.39,0.48,537.1,1192.73
31,Ricker,alpha,0.28837965073132854,Beverton-Holt,0.39,0.2,0.66,1.008,35.2383911316083,0.28837965073132854,0.4991354913251196,4322.896473877227,8977,0.39,0.48,537.1,1192.73
31,Ricker,sigma,0.4991354913251196,Beverton-Holt,0.48,0.39,0.61,1.002,-3.833726845253608,0.28837965073132854,0.4991354913251196,4322.896473877227,8977,0.39,0.48,537.1,1192.73
31,Ricker,K,8977,Ricker,1007.05,540.37,3096.41,NA,-88.78188704466972,0.28837965073132854,0.4991354913251196,4322.896473877227,8977,0.41,0.49,475.64,1007.05
31,Ricker,Smsy,4322.896473877227,Ricker,475.64,255.22,1478.96,1.016,-88.99719197824332,0.28837965073132854,0.4991354913251196,4322.896473877227,8977,0.41,0.49,475.64,1007.05
31,Ricker,alpha,0.28837965073132854,Ricker,0.41,0.21,0.63,1.004,42.17369324092154,0.28837965073132854,0.4991354913251196,4322.896473877227,8977,0.41,0.49,475.64,1007.05
31,Ricker,sigma,0.4991354913251196,Ricker,0.49,0.39,0.62,1.001,-1.8302628211963894,0.28837965073132854,0.4991354913251196,4322.896473877227,8977,0.41,0.49,475.64,1007.05
32,Beverton-Holt,K,9800,Beverton-Holt,9518.38,6184.04,15473.44,1.001,-2.8736734693877635,3.2178451778317427,1.1381540770726397,1634.0348663897812,9800,5.12,1.16,658.52,9518.38
32,Beverton-Holt,Smsy,1634.0348663897812,Beverton-Holt,658.52,67.11,4144.45,1.001,-59.69975833778095,3.2178451778317427,1.1381540770726397,1634.0348663897812,9800,5.12,1.16,658.52,9518.38
32,Beverton-Holt,alpha,3.2178451778317427,Beverton-Holt,5.12,1.4,9.7,1.002,59.112689301291134,3.2178451778317427,1.1381540770726397,1634.0348663897812,9800,5.12,1.16,658.52,9518.38
32,Beverton-Holt,sigma,1.1381540770726397,Beverton-Holt,1.16,0.92,1.54,1.002,1.919417007541585,3.2178451778317427,1.1381540770726397,1634.0348663897812,9800,5.12,1.16,658.52,9518.38
32,Beverton-Holt,K,9800,Ricker,14360.27,9384.97,21600.08,NA,46.53336734693878,3.2178451778317427,1.1381540770726397,1634.0348663897812,9800,1.16,1.18,5986.74,14360.27
32,Beverton-Holt,Smsy,1634.0348663897812,Ricker,5986.74,4178.95,8997.01,1,266.3777391254226,3.2178451778317427,1.1381540770726397,1634.0348663897812,9800,1.16,1.18,5986.74,14360.27
32,Beverton-Holt,alpha,3.2178451778317427,Ricker,1.16,0.63,1.7,1.002,-63.95103133017623,3.2178451778317427,1.1381540770726397,1634.0348663897812,9800,1.16,1.18,5986.74,14360.27
32,Beverton-Holt,sigma,1.1381540770726397,Ricker,1.18,0.94,1.55,1.001,3.6766483352578208,3.2178451778317427,1.1381540770726397,1634.0348663897812,9800,1.16,1.18,5986.74,14360.27
33,Beverton-Holt,K,8950,Beverton-Holt,5408.65,3161.75,18087.34,1.022,-39.56815642458101,0.43719768524842983,0.7089716755095663,3987.8235420096644,8950,0.57,0.65,2288.97,5408.65
33,Beverton-Holt,Smsy,3987.8235420096644,Beverton-Holt,2288.97,1282.44,8170.23,1.023,-42.601020935683806,0.43719768524842983,0.7089716755095663,3987.8235420096644,8950,0.57,0.65,2288.97,5408.65
33,Beverton-Holt,alpha,0.43719768524842983,Beverton-Holt,0.57,0.23,1.1,1.023,30.37580463769097,0.43719768524842983,0.7089716755095663,3987.8235420096644,8950,0.57,0.65,2288.97,5408.65
33,Beverton-Holt,sigma,0.7089716755095663,Beverton-Holt,0.65,0.52,0.85,1.006,-8.317916998190508,0.43719768524842983,0.7089716755095663,3987.8235420096644,8950,0.57,0.65,2288.97,5408.65
33,Beverton-Holt,K,8950,Ricker,5377.69,3440.05,11084.8,NA,-39.91407821229051,0.43719768524842983,0.7089716755095663,3987.8235420096644,8950,0.54,0.64,2489.98,5377.69
33,Beverton-Holt,Smsy,3987.8235420096644,Ricker,2489.98,1622.09,5193.36,1.003,-37.56042678996839,0.43719768524842983,0.7089716755095663,3987.8235420096644,8950,0.54,0.64,2489.98,5377.69
33,Beverton-Holt,alpha,0.43719768524842983,Ricker,0.54,0.26,0.82,1.008,23.513920183075673,0.43719768524842983,0.7089716755095663,3987.8235420096644,8950,0.54,0.64,2489.98,5377.69
